"Longitude","Latitude","Mmodesta","barrier","Bbsuit","Bfsuit","Brsuit","BbBfBrsuit","bio1","bio12"
-96.9734611,19.0688111,1,1,0.031783,0.017374899,0.000467139,0.031783,185,2047
-96.9451806,19.509225,1,1,0.029762,0.038218901,0.00235651,0.038218901,183,1610
-96.9429222,18.8916111,1,1,0.019769,0.00930033,0.000306036,0.019769,211,2063
-96.8841417,19.3694583,1,1,0.0149327,0.0205808,0.000188492,0.0205808,208,1482
-96.7785583,18.9125639,1,1,0.017586401,0.0143584,0.00026562,0.017586401,230,1827
-96.7689722,18.6791194,1,1,0.0145684,0.00290879,0.00020291,0.0145684,239,2503
-96.3029083,17.7753889,1,1,0.010084,5.93e-05,0.000215591,0.010084,246,4015
-95.0752028,18.5854944,1,1,0.030640399,0.00246409,0.00382605,0.030640399,253,3345
-95.07195,18.6183306,1,1,0.030640399,0.00246409,0.00382605,0.030640399,253,3345
-92.0924667,16.7973872,1,1,0.077541299,0.039732099,0.00303921,0.077541299,224,1771
-85.7,13.5833333,1,1,0.201692998,0.143739,0.053168699,0.201692998,193,2183
-84.339,10.9728,1,1,0.314485997,0.063140102,0.174759999,0.314485997,256,3246
-81.0767833,8.5090111,1,1,0.316271007,0.066473201,0.00983958,0.316271007,245,2645
-79.8479056,9.1553778,1,1,0.211976007,0.175308004,0.0503796,0.211976007,265,2549
-79.6561066,9.0760251,1,1,0.290789008,0.272942007,0.0226677,0.290789008,264,2170
-79.653025,9.5504139,1,1,0.196814999,0.030448699,0.070690699,0.196814999,265,3470
-79.6151472,9.2142861,1,1,0.26534301,0.260551989,0.0256902,0.26534301,262,2453
-79.4125417,9.1755417,1,1,0.254097015,0.0205335,0.0171753,0.254097015,235,3313
-70.7326528,9.3296528,1,1,0.66753602,0.886099994,0.37667799,0.886099994,221,835
-60.3961833,-29.4377333,0,0,0.00105636,0.00393083,5.87e-05,0.00393083,199,1027
-60.3960694,-29.4547861,0,0,0.00105636,0.00393083,5.87e-05,0.00393083,199,1027
-60.3933306,-29.4486778,0,0,0.00105636,0.00393083,5.87e-05,0.00393083,199,1027
-41.6859472,-22.2952917,0,0,0.088286199,0.236539006,0.057730999,0.236539006,229,1115
-70.0042917,-20.2302528,0,1,0.172431007,0.60117501,0.175556004,0.60117501,161,0
-59.9830556,-2.9308333,0,0,0.450102001,0.472649008,0.262419999,0.472649008,272,2189
-43.6622222,-20.4788889,0,0,0.0298688,0.0241223,0.000293087,0.0298688,176,1584
-42.4943833,-22.3778556,0,0,0.035847899,0.056108501,0.00430998,0.056108501,174,1455
-70.0836361,-20.4032194,0,1,0.171670005,0.600214005,0.174602002,0.600214005,158,0
-47.9236417,-25.0721694,0,0,0.0129614,0.00626784,0.00716297,0.0129614,227,2469
-69.9678111,-20.7134,0,1,0.157240003,0.584261,0.157214001,0.584261,164,0
-69.9120944,-20.2235361,0,1,0.144461006,0.535179019,0.141525,0.535179019,158,0
-73.9120556,4.7974444,0,1,0.709712029,0.867078006,0.442131996,0.867078006,125,1017
-73.7,5.0166667,0,1,0.562784016,0.770166993,0.274973005,0.770166993,113,1262
-85.6124917,10.8337917,0,1,0.090556197,0.058058798,7.24e-05,0.090556197,249,1724
-84.7951972,10.3223944,0,1,0.304136008,0.072608903,0.102914996,0.304136008,188,2956
-83.7087861,9.5604889,0,1,0.308304012,0.123065002,0.0148081,0.308304012,94,2521
-61.41,15.51,0,0,0.386198997,0.169817999,0.459037989,0.459037989,210,3354
-61.335,15.375,0,0,0.386909008,0.169839993,0.443235993,0.443235993,232,2836
-61.31,15.3499972,0,0,0.383527011,0.122865997,0.481247008,0.481247008,205,3676
-76.3944806,-0.6763417,0,0,0.653620005,0.375333995,0.691617012,0.691617012,251,3116
-53.0311861,5.0714889,0,0,0.403598011,0.115951002,0.159084007,0.403598011,257,2923
-52.9229667,5.0367222,0,0,0.393032998,0.101429999,0.144837007,0.393032998,255,3014
-52.9229667,5.1492528,0,0,0.376323998,0.095794201,0.105525002,0.376323998,258,2950
-52.359375,0.8145806,0,0,0.359569997,0.29025799,0.197861001,0.359569997,257,2458
-52.1195222,4.5307583,0,0,0.331055999,0.027451601,0.159602001,0.331055999,250,3768
-78.3226187,18.2739389,0,0,0.345557988,0.448444009,0.111354999,0.448444009,260,1660
-78.2431304,18.3810683,0,0,0.354310006,0.459760994,0.134882003,0.459760994,257,1759
-78.1785361,18.2973188,0,0,0.328693002,0.391485006,0.109636001,0.391485006,261,1891
-78.1785361,18.4136371,0,0,0.348120004,0.416548014,0.123533003,0.416548014,252,1898
-77.4905889,18.1718028,0,0,0.345827013,0.237517998,0.147635996,0.345827013,207,1940
-77.457275,18.1577056,0,0,0.317519009,0.207509995,0.132214993,0.317519009,207,1942
-99.1516667,19.0205556,0,1,0.0232813,0.038626999,5.99e-06,0.038626999,156,1129
-99.0655333,18.883025,0,1,0.0193504,0.053667799,5.27e-06,0.053667799,231,925
-73.4847139,-4.2159861,0,0,0.701528013,0.502698004,0.620373011,0.701528013,264,2590
-66.5600694,18.1588444,0,0,0.203338996,0.084446102,0.111435004,0.203338996,201,2487
-65.8170278,18.3209472,0,0,0.313405007,0.167156994,0.425897986,0.425897986,213,2958
-65.7950861,18.3049972,0,0,0.313405007,0.167156994,0.425897986,0.425897986,213,2958
-65.7941528,18.293,0,0,0.313405007,0.167156994,0.425897986,0.425897986,213,2958
-65.7624778,18.2746611,0,0,0.308328003,0.155931994,0.412479013,0.412479013,211,3001
-63.238825,17.6280944,0,0,0.310196012,0.657671988,0.179674,0.657671988,251,1159
-71.0570944,8.6227306,0,1,0.589141011,0.692183018,0.113985002,0.692183018,133,1190
-67.9964833,10.3714694,0,0,0.460056007,0.689541996,0.059515301,0.689541996,208,1053
-67.9943111,10.3736861,0,0,0.460056007,0.689541996,0.059515301,0.689541996,208,1053
-97.0043889,19.0043889,0,1,0.0290164,0.0155313,0.000366277,0.0290164,186,2029
-97.0021111,19.5001667,0,1,0.0279362,0.0170446,0.000902713,0.0279362,156,1807
-58.3132417,6.5623889,0,0,0.565349996,0.578813016,0.346453011,0.578813016,263,1966
-58.2196139,6.4980778,0,0,0.638006985,0.822161973,0.423628002,0.822161973,261,1384
-92.7167,15.6333,1,1,0.083002597,0.0369193,0.000123284,0.083002597,197,1803
-79.7147,9.1272,1,1,0.247357994,0.210903004,0.032792501,0.247357994,263,2437
-77.5061111,5.5736111,1,1,0.426286012,0.021797599,0.594760001,0.594760001,260,5920
-88.2825,15.5197,1,1,0.115092002,0.121100001,0.072591297,0.121100001,182,1807
-88.2142,15.5169,1,1,0.117963001,0.123646997,0.074097201,0.123646997,170,1849
-88.80436,18.426725,0,1,0.060352799,0.129932001,0.0102156,0.129932001,250,1330
-81.12,8.52,1,1,0.335227996,0.089580797,0.0135701,0.335227996,234,2571
-81.1394,8.5287,1,1,0.378764987,0.143004999,0.033197898,0.378764987,217,2521
-81.1179,8.5168,1,1,0.335227996,0.089580797,0.0135701,0.335227996,234,2571
-90.219,15.2145,1,1,0.178143993,0.144649997,0.026810899,0.178143993,163,2011
-77.4167,3.25,1,1,0.389782012,0.00312621,0.658055007,0.658055007,264,7345
-96.6247,17.1406,1,1,0.082667097,0.172055006,0.000148276,0.172055006,148,951
-95.05,18.48,1,1,0.024654999,0.00382792,0.00246806,0.024654999,233,2851
-88.98599167,16.7332,0,1,0.102187999,0.132326007,0.0533733,0.132326007,236,1983
-73.43333333,5.783333333,0,1,0.601444006,0.567035973,0.205788001,0.601444006,137,1529
-75.45788889,5.076861111,0,1,0.602730989,0.540307999,0.356173992,0.602730989,138,2011
-75.0666667,6.9,1,1,0.482762009,0.145621002,0.269241989,0.482762009,200,3367
